Date,Total phosphorus,Temperature,Ammonia nitrogen,Nirate nitrogen,Total nitrogen,pH,Alkalinity,Turbidity
3/8,0.285714286,0.166666667,0.075,0.367424242,0.398467433,0.327433628,0.8,0.086614173
1/3,0.142857143,0.2,0.075,0.439393939,0.494252874,0.265486726,0.742857143,0.125984252
1/4,0.142857143,0.5,0.025,0.409090909,0.432950192,0.601769912,0.628571429,0.133858268
1/4,0.285714286,0.566666667,0.125,0.606060606,0.616858238,0.619469027,0.485714286,0.346456693
6/1,0.428571429,0.833333333,0.325,0.526515152,0.567049808,0.345132743,0.314285714,0.11023622
1/6,0.285714286,0.966666667,0.275,0.416666667,0.540229885,0.380530973,0.157142857,0.346456693
7/5,0.142857143,0.983333333,0.25,0.166666667,0.498084291,0.495575221,0.457142857,0.338582677
1/7,0.285714286,1,0.275,0.196969697,0.268199234,0.513274336,0.485714286,0.377952756
8/8,0.285714286,0.983333333,0.375,0.102272727,0.195402299,0.265486726,0.285714286,0.614173228
1/8,0.428571429,0.933333333,0.275,0.068181818,0.14559387,0.283185841,0.142857143,0.42519685
1/8,0.285714286,0.866666667,0.4,0.049242424,0.114942529,0.530973451,0.128571429,0.346456693
1/8,0.714285714,0.85,0.05,0.045454545,0.091954023,0.814159292,0.057142857,0.338582677
9/5,0.428571429,0.833333333,0.3,0.026515152,0.118773946,0.522123894,0.171428571,0.377952756
1/9,0.428571429,0.8,0.075,0.03030303,0.068965517,0.973451327,0.185714286,0.614173228
10/10,0.428571429,0.6,0.2,0.045454545,0.08045977,0.707964602,0.257142857,0.503937008
1/10,0.571428571,0.5,0.2,0.181818182,0.275862069,0.522123894,0.542857143,0.582677165
1/10,0.428571429,0.416666667,0.175,0.314393939,0.394636015,0.548672566,0.542857143,0.566929134
11/7,0.571428571,0.333333333,0.225,0.446969697,0.555555556,0.415929204,0.742857143,0.377952756
1/11,0.285714286,0.133333333,0.275,0.503787879,0.586206897,0.407079646,0.714285714,0.228346457
1/12,0.142857143,0.066666667,0.1,0.731060606,1,0.353982301,0.885714286,0.015748031
1/12,0.285714286,0.033333333,0.1,0.772727273,0.800766284,0.407079646,0.914285714,0.125984252
1/2,0.142857143,0.033333333,0.025,0.742424242,0.685823755,0.442477876,0.857142857,0.062992126
1/2,0,0.066666667,0.125,0.613636364,0.655172414,0.389380531,0.885714286,0.011023622
1/3,0,0.25,0.075,0.609848485,0.681992337,0.353982301,1,0.133858268
4/3,0.142857143,0.333333333,0.05,0.583333333,0.616858238,0.371681416,0.842857143,0.047244094
1/4,0,0.566666667,0.1,0.462121212,0.482758621,0.424778761,0.657142857,0.102362205
5/9,0.142857143,0.7,0.25,0.401515152,0.455938697,0.619469027,0.457142857,0.070866142
1/5,0.142857143,0.75,0.075,0.746212121,0.762452107,1,0,0
1/5,0.142857143,0.833333333,0.075,0.359848485,0.38697318,0.371681416,0.228571429,0.062992126
1/6,0,0.916666667,0.35,0.352272727,0.459770115,0,0.685714286,0.346456693
1/6,0.428571429,0.966666667,0.25,0.299242424,0.363984674,0.407079646,0.428571429,0.244094488
7/10,0.285714286,1,0.35,0.215909091,0.30651341,0.283185841,0.371428571,0.173228346
1/7,0.285714286,0.983333333,0.325,0.200757576,0.264367816,0.389380531,0.371428571,0.291338583
1/7,0.714285714,1,0.225,0.166666667,0.114942529,0.469026549,0.357142857,0.330708661
1/7,0.571428571,0.983333333,0.3,0.098484848,0.134099617,0.469026549,0.214285714,0.622047244
8/7,0.571428571,0.983333333,0.1,0.007575758,0.011494253,0.690265487,0.071428571,1
1/8,0.428571429,0.933333333,0,0,0.003831418,0.920353982,0.028571429,0.921259843
1/8,0.428571429,0.866666667,0.05,0.003787879,0.045977011,0.513274336,0.085714286,0.503937008
1/8,0.285714286,0.85,0,0,0,0.477876106,0.1,0.275590551
9/4,0.428571429,0.833333333,0.05,0,0.061302682,0.353982301,0.171428571,0.503937008
1/9,0.571428571,0.833333333,0.325,0,0.076628352,0.433628319,0.2,0.598425197
1/9,0.428571429,0.716666667,0,0,0.0651341,0.725663717,0.228571429,0.598425197
10/11,0.142857143,0.6,0.325,1,0.636015326,0.486725664,0.685714286,0.228346457
1/10,0.285714286,0.566666667,0.5,0.113636364,0.203065134,0.566371681,0.371428571,0.31496063
1/10,0.142857143,0.5,0.625,0.193181818,0.199233716,0.415929204,0.485714286,0.236220472
1/10,0.285714286,0.416666667,0.525,0.21969697,0.375478927,0.300884956,0.528571429,0.118110236
1/11,0.142857143,0.233333333,0.3,0.46969697,0.524904215,0.283185841,0.742857143,0.102362205
1/11,0.285714286,0.133333333,0.35,0.522727273,0.609195402,0.283185841,0.814285714,0.228346457
12/11,0,0.066666667,0.25,0.560606061,0.647509579,0.300884956,0.842857143,0.086614173
1/12,0.142857143,0.033333333,0.2,0.553030303,0.597701149,0.283185841,0.885714286,0.047244094
1/1,0.142857143,0.016666667,0.175,0.674242424,0.681992337,0.292035398,1,0.007874016
1/2,0,0.05,0.025,0.549242424,0.632183908,0.212389381,0.957142857,0.05511811
3/11,0.285714286,0.15,0,0.503787879,0.521072797,0.283185841,0.857142857,0.133858268
1/3,0.285714286,0.266666667,0.075,0.488636364,0.425287356,0.292035398,0.8,0.11023622
1/4,0,0.45,0,0.303030303,0.314176245,0.336283186,0.528571429,0.118110236
1/4,0.142857143,0.533333333,0,0.268939394,0.283524904,0.619469027,0.185714286,0.354330709
1/4,0.285714286,0.583333333,0,0.261363636,0.24137931,0.637168142,0.157142857,0.165354331
1/5,0.142857143,0.733333333,0,0.321969697,0.333333333,0.690265487,0.1,0.023622047
1/5,0.142857143,0.8,0,0.295454545,0.318007663,0.769911504,0.028571429,0.023622047
1/5,0.142857143,0.816666667,0.25,0.34469697,0.195402299,0.398230088,0.228571429,0.118110236
1/6,0.142857143,0.916666667,0.5,0.299242424,0.425287356,0.247787611,0.328571429,0.307086614
7/1,0,0.983333333,0.725,0.378787879,0.505747126,0.530973451,0.257142857,0.57480315
1/7,0.428571429,1,0.575,0.246212121,0.375478927,0.539823009,0.242857143,0.283464567
1/7,0.428571429,1,0.85,0.159090909,0.363984674,0.07079646,0.3,0.535433071
1/7,1,1,1,0.109848485,0.260536398,0.03539823,0.285714286,0.590551181
8/12,0.285714286,0.966666667,0.45,0.140151515,0.206896552,0.513274336,0.114285714,0.598425197
1/8,0.428571429,0.85,0.275,0.147727273,0.237547893,0.654867257,0.285714286,0.417322835
9/2,0.285714286,0.833333333,0.525,0.21969697,0.329501916,0.407079646,0.328571429,0.362204724
1/9,0.428571429,0.8,0.375,0.382575758,0.478927203,0.601769912,0.314285714,0.543307087
1/9,0.571428571,0.7,0.275,0.397727273,0.478927203,0.610619469,0.371428571,0.440944882
1/10,0.428571429,0.566666667,0.475,0.526515152,0.616858238,0.513274336,0.514285714,0.228346457
1/10,0.285714286,0.533333333,0.45,0.5,0.590038314,0.389380531,0.471428571,0.244094488
1/10,0,0.433333333,0.7,0.473484848,0.643678161,0.345132743,0.457142857,0.078740157
12/2,0.285714286,0.066666667,0.875,0.579545455,0.83908046,0.168141593,0.657142857,0.141732283
1/12,0,0.033333333,0.825,0.814393939,0.938697318,0.203539823,0.685714286,0.015748031
1/12,0,0,0.625,0.996212121,0.927203065,0.238938053,0.728571429,0.047244094
